Mineral_Name,cations_theoretical,other_theoretical
Aluminium,Al,
Copper,Cu,
Gold,Au,
Lead,Pb,
Nickel,Ni,
Silver,Ag,
Steinhardtite,Al;Ni;Fe,
UM1991-06-E:AuCu,Au;Cu,
UM2004-08-E:AuCuPd,Cu;Pd;Au,
Antimonian Silver,Ag;Sb,
Argentian Mercurian Gold,Au;Ag;Hg,
Argentocuproaurite,Au;Ag;Cu;Pd;Rh,
Argentocuproaurite-II,Au;Ag;Cu;Pd,
Arsenian Silver,Ag;As,
Auriferous Zincian Copper,Cu;Au;Zn,
Bismuthian Gold,Au;Bi,
Cuprian Gold,Au;Cu,
Electrum,Au;Ag,
Iridian Gold,Au;Ir,
Kongsbergite,Ag;Hg,
Küstelite,Ag;Au,
Mercurian Gold,Au;Hg,
Native Amalgam,Ag;Hg,
Nickeloan Copper,Cu;Ni;Fe,
Nickeloan Gold,Au;Ni,
Oktibbehite,Ni;Fe,
Palladian Copper,Cu;Pd,
Palladian Gold,Au;Pd,
Platinian Gold,Au;Pt,
Pyrrhochrysit,Au;Ag,
Rhodite,Au;Rh,
Stanniferous Copper,Cu;Sn,
Whitneyite,Cu;As,
Porpezite,Au;Pd,
Auricupride,Au;Cu,
Cuproauride,Cu;Au,
Tomamaeite,Au;Pt,
Argentocuproauride,Au;Ag;Cu,
Rozhkovite,Au;Pd;Cu,
Tetra-auricupride,Au;Cu,
Anyuiite,Au;Pb,
Khatyrkite,Cu;Zn;Al,
Novodneprite,Au;Pb,
UM1985-02-E:AlZn,Zn;Cu;Al,
Iodine,I,
Cupalite,Cu;Zn;Al,
Hunchunite,Pb;Au,
Stolperite,Al;Cu,
Hollisterite,Al;Fe,
Icosahedrite,Al;Cu;Fe,
Kryachkoite,Al;Cu;Fe,
Proxidecagonite,Al;Ni;Fe,
Cadmium,Cd,
Titanium,Ti,
Zinc,Zn,
Magnesium,Mg,
Rhenium,Re,
UM1980-01-E:CuZn,Cu;Zn,
UM1980-02-E:CuZn,Cu;Zn,
UM2003-03-E:AgAuCuZn,Cu;Au;Ag;Zn,
Zhanghengite,Cu;Zn,
Zinccopperite,Cu;Zn,
α-Brass,Cu;Zn,
Danbaite,Zn;Cu,
Tongxinite,Cu;Zn,
Indium,In,
Tin,Sn,
Sorosite,Cu;Sn;Sb,
Yuanjiangite,Au;Sn,
UM1965-07-E:CuSn,Cu;Sn,
Eta-bronze,Cu;Sn,
Rumoiite,Au;Sn,
